Ticker,Annualized_Return,Volatility (Risk),Sharpe_Ratio
BCE.TO,0.05952223432304625,0.22993461325749723,0.10664872928715824
BNS.TO,0.3425729866753471,0.14685326471644672,2.0944238949622798
CM.TO,0.3826775950729538,0.15812937507449754,2.198690755017256
EMA.TO,0.2924639790596444,0.1374978424253083,1.8724946844129875
ENB.TO,0.1336139439266699,0.15957405190346427,0.6179823270159691
GWO.TO,0.43688686162513996,0.1969097753647694,2.0409695805129875
POW.TO,0.5657527622022248,0.17484061552909616,3.0356376897672233
PPL.TO,0.05473274919127295,0.21657230565150942,0.09111390827147257
T.TO,0.00012673672691400033,0.18142250490141965,-0.19222126434664344
TRP.TO,0.1758824873427868,0.18435275218557615,0.7642006190445663
XIU.TO,0.2655099320169637,0.13984311791201523,1.6483466291275992
